"","2-E1","2-E2","2-E3","2T1","2T6","3-E3","3-E4","3-E5","3T5","4-E3","4-E4","4-E5","4-E6","4T3","4T5","5-E4","5-E5","5-E6","5T4","8-E1","8-E5","8T1","8T5","EE2","EE3","ET3","ET4","ET6","GE1","GE4","GE6","GT1","GT2","HE3","HE4","HE6","HT3","HT4","HT5","IE2","IE6","IT1","IT2","IT3","IT5","IT6","JE6","JE6-1","JT4","KE2","KE3","KE5","KE6","KT2","KT5","LE4","LE5","LT2","LT5","ME4","MT1","MT4","MT5","UE3","UE3-1","UE6","UT2","UT4","UT6","WE2","WT6"
"Seq 94",0,0,0,0,3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 95",0,2662,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Seq 96",97,0,386,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,34,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,17,0,0,0,0,0,75,0,0,0,0,0,0,0,1725,0,0,0,0,645,0,0,10,0,0,0,0,0,0,0
"Seq 97",1445,0,0,0,584,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,42,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,86,0,0,361,176,0,0
"Seq 98",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,79,162,0,0,0,0,198,0,0,0,0,0,0,0,0,25,0,0,0,1476,46,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,34,0,0
"Seq 99",0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,187,0,0,0,0,72,0,0,0,0,0,127,190,0,0,0,0,255,0,0,0,0,0,0,312,0,29,0,0,0,887,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
"Seq 100",107,0,396,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,34,29,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,1495,0,0,0,0,757,0,0,9,0,0,0,0,0,0,0
"Seq 101",0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 102",0,0,0,0,26,0,0,0,0,0,0,0,120,0,0,0,0,0,167,0,0,0,0,75,0,0,0,0,0,131,185,0,0,0,0,231,0,0,0,0,0,0,263,0,0,0,0,0,828,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0
"Seq 103",0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,111,0,0,0,0,0,32,0,0,0,0,185,151,0,0,0,0,120,0,0,0,0,0,0,195,269,0,316,0,0,370,85,530,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,173,0,0,0
"Seq 104",0,0,0,0,0,0,0,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581,0,0,0,0,0,0,0,0
"Seq 106",0,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 107",0,0,0,0,62,0,0,0,0,0,0,0,97,0,0,0,0,0,109,0,0,0,0,0,44,0,0,0,0,451,101,0,0,0,186,275,0,0,0,0,0,0,205,0,25,112,0,0,389,61,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,54,0,0
"Seq 108",847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 109",0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2094,0,0,0,0,0,0,0,0,0,0
"Seq 110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,76,0,307,0,281,0,0,95,186,0,0,0,289,0,0,0,0,456,0,0,0,434,0,0,0,0,0,0,0,0
"Seq 111",69,0,52,0,0,0,0,63,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,140,54,0,0,0,94,0,0,0,0,0,85,0,0,0,0,0,0,0,0,547,0,309,0,0,0,0,28,0,0,0,0,0,0,0,259,0,316,0,81,0,163,0,0,0,0,0,0
"Seq 112",1047,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,29,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,63,0,0,267,104,0,0
"Seq 113",0,0,0,0,122,0,0,126,14,0,0,0,0,0,76,0,0,0,0,0,122,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,38,177,0,0,0,0,132,0,0,0,0,157,0,837,0,63,0,24,0,0,0,0,0,0
"Seq 114",0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,81,0,0,0,0,0,15,0,0,0,0,44,94,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0
"Seq 115",0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,99,0,0,0,0,0,34,0,0,0,0,76,121,0,0,0,0,208,0,0,0,0,0,0,0,0,31,0,0,0,877,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,43,0,0
"Seq 116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,0,0,0,0,0,0,0,0
"Seq 117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,26,0,0,0,0,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 118",98,0,55,0,0,0,0,61,0,0,0,0,17,0,0,0,0,0,16,0,70,0,0,181,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,101,19,856,0,54,0,9,56,0,0,0,0,60,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0
"Seq 119",0,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,1011,250,0,0,0,0,0,0,0
"Seq 121",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,45,107,0,0,0,0,127,0,0,0,0,0,0,0,0,30,0,0,0,961,25,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,16,0,0
"Seq 122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,66,0,0,0,0,1331,0,0,0
"Seq 123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056,0,0,0,0,0,0,0,0
"Seq 124",0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,140,0,0,0,0,43,0,0,0,0,0,86,132,0,0,0,0,138,0,0,0,0,0,0,213,0,0,0,0,0,619,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0
"Seq 125",0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 127",81,0,223,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1057,0,0,0,0,392,0,0,17,0,0,0,0,0,0,0
"Seq 128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0
"Seq 129",0,0,0,0,0,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Seq 130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,0,0,0,0,0
"Seq 131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,106,5,431,0,58,0,0,164,310,0,0,0,406,0,0,0,0,157,0,0,0,158,0,0,0,0,0,0,0,0
"Seq 132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0
"Seq 133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,0,0,0,0
"Seq 134",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,88,0,0,0,0,0,44,52,26,0,0,0,0,0,0,0,0,0,1442,0,0,0,0,0,0,0,0,0,0
"Seq 135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0
"Seq 136",0,0,0,0,46,0,0,0,0,0,0,0,78,0,0,0,0,0,50,0,0,0,0,0,41,0,0,0,0,255,103,0,0,0,170,155,0,0,0,0,0,0,110,0,37,119,0,0,290,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Seq 137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,62,0,0,0,0,1055,0,0,0
"Seq 138",0,0,0,0,88,0,0,112,0,0,0,0,0,0,152,0,0,5,0,0,83,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,129,0,0,0,0,70,0,0,0,0,188,0,449,0,91,0,0,0,0,0,0,0,0
"Seq 139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,816,168,0,0,0,0,0,0,0
"Seq 140",0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,55,0,0,58,0,0,0,94,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
"Seq 141",0,0,0,0,50,0,0,0,0,0,0,0,51,0,0,0,0,0,44,0,0,0,0,0,33,0,0,0,0,301,62,0,0,0,92,196,0,0,0,0,0,0,131,0,16,78,0,0,230,48,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"Seq 142",0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,370,0,0,0,119,25,0,0,0,0,0,0,0,329,0,0,0,488,0,0,0,0,0,0,0,0
"Seq 143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,691,142,0,0,0,0,0,0,0
